YEAR,MONTH,MIN,MAX,HUMIDITY,RAINFALL,DENGUE
2008,1,10.2,25.1,78.8,39.9,0
2008,2,9.1,26.4,72.6,19.9,0
2008,3,15.8,31.4,76.9,30.2,0
2008,4,19,34,73.9,29.4,0
2008,5,21.1,34.2,77.4,217.7,0
2008,6,22.7,31.8,85.7,425.3,0
2008,7,24.2,31.1,88.1,699.5,160
2008,8,24.2,31.7,86.8,431.2,473
2008,9,23.7,32.4,85.2,273.2,334
2008,10,19.1,31.5,83.9,227.3,184
2008,11,14.9,29.9,78.7,3.4,0
2008,12,12.2,26.4,83.6,0.1,0
2009,1,10.3,26.2,79.6,0.1,0
2009,2,11.8,29.6,70.3,2.6,0
2009,3,15.3,32.6,70.3,16.1,0
2009,4,19.4,34.4,75.2,75.9,0
2009,5,20.8,33.8,78.3,276.6,1
2009,6,22.6,33.8,81.6,260.6,0
2009,7,24.3,31.9,86.4,610,4
2009,8,24,32,87.5,536.1,125
2009,9,24,32.6,85.2,273.2,188
2009,10,19.4,32.1,82.4,165.1,154
2009,11,13.7,30.2,78.4,16.1,0
2009,12,9.4,26.4,79.3,0,0
2010,1,9.1,24.5,78.7,0,0
2010,2,10.8,29.1,69.8,7.4,0
2010,3,17.2,33.6,70.2,20.6,0
2010,4,21,34.3,76.4,68.4,0
2010,5,21.6,33.7,79.6,292.3,0
2010,6,22.8,32.5,86.2,559.1,0
2010,7,24.7,32.5,84.9,326.5,61
2010,8,24.8,32.8,84.9,312.6,183
2010,9,23.9,32.4,85.8,236,120
2010,10,20.8,32.3,83.8,285.2,45
2010,11,15.6,30.5,80.1,14.6,0
2010,12,10.2,26.4,78.2,31.8,0
2011,1,7.4,24.2,77.1,1.4,0
2011,2,11.6,28.8,70.6,3.2,0
2011,3,13.4,31.9,70.3,37,0
2011,4,19.6,33.1,75.6,89.8,0
2011,5,21.1,33.2,81,273.3,0
2011,6,23.4,32.4,85.4,488.3,61
2011,7,24.1,32.1,85.2,467.6,255
2011,8,23.9,31.3,87.5,658.3,691
2011,9,24.3,32,86.2,385.5,193
2011,10,19.7,32.8,81.9,90,114
2011,11,15.4,29.9,78.8,0.9,36
2011,12,10.1,25.5,81.9,0.2,9
2012,1,8.9,24.7,77.4,12.9,0
2012,2,9.9,29,67.8,2.8,0
2012,3,15.9,32.5,70.8,23.9,0
2012,4,18.6,33.2,76.8,186.8,0
2012,5,20.3,34.6,77.6,151.1,0
2012,6,22.9,33,84.2,503.7,10
2012,7,24.7,31.8,87.1,535.7,129
2012,8,24.5,32.4,85.7,359.2,122
2012,9,24.2,32.4,85.9,283.1,246
2012,10,19.1,32,82.8,194.7,107
2012,11,13,29.1,79.2,46.9,27
2012,12,8.9,24.7,83.2,2.2,0
2013,1,6.2,24.8,76.2,0.5,6
2013,2,11.8,29.2,69.7,7.6,7
2013,3,14.5,33,69.9,9,3
2013,4,19.1,33.9,73.2,59.4,3
2013,5,20.3,31.7,83.9,511.3,12
2013,6,22.8,33.2,83.4,398.5,50
2013,7,24.4,32.3,84.9,376.2,172
2013,8,24.5,31.9,86.6,398.5,339
2013,9,23.7,32.6,85.6,290.5,385
2013,10,20.2,31.1,85.8,247.9,501
2013,11,14.5,30.1,77.7,0.3,218
2013,12,10.5,26.5,79.8,0.4,53
2014,1,9.1,24.8,80,0.1,15
2014,2,10.8,27.3,74.1,25.6,7
2014,3,14.9,32.1,68.1,18.1,2
2014,4,19.9,35.8,69.3,26.9,0
2014,5,21.1,34.8,76.4,201.7,8
2014,6,23.1,32.9,84.9,570.3,9
2014,7,24.6,32.6,84.7,361,82
2014,8,24.4,32,87,445.3,80
2014,9,23.9,32.4,84.9,335.9,76
2014,10,19.5,32.4,81.8,77.8,63
2014,11,14,30.4,78.5,1.4,22
2014,12,11,26,82.2,0.1,11
2015,1,10.3,25.3,79.6,9.9,0
2015,2,9.9,28.7,74.8,17,0
2015,3,14.2,32.3,67.5,25.6,2
2015,4,19.4,32.6,77.8,174.4,6
2015,5,21.2,34.1,78.9,169.9,10
2015,6,23.1,32.6,84.3,578.8,28
2015,7,23.6,31.5,87.6,881.3,171
2015,8,24.2,32.2,86.5,451.7,765
2015,9,23.9,32.8,84.8,328.6,965
2015,10,20,32.3,82.6,132.8,869
2015,11,16.4,30.3,80.1,5.7,271
2015,12,10.4,26.1,80.4,7.5,75
2016,1,8.8,25.2,79.9,6.9,13
2016,2,12,29.6,77,41,3
2016,3,17.9,32.9,73.7,48.9,17
2016,4,18.3,34.3,76.6,81.4,38
2016,5,20.8,33.6,79.4,337.1,70
2016,6,22.9,33.2,82.2,313.5,254
2016,7,24.4,31.8,87.3,557.8,926
2016,8,23.8,32.7,84.2,372,1451
2016,9,24.3,32.8,85.3,273,1544
2016,10,21.6,32.7,83.2,177.2,1077
2016,11,15.8,29.8,80.6,86.3,522
2016,12,13.1,27.7,80.9,0.8,145
2017,1,8.8,26.7,75.4,0.4,92
2017,2,12.4,29.7,71.1,5.4,58
2017,3,14.8,30.4,75.3,121.1,36
2017,4,19.4,32.5,78.8,273.8,73
2017,5,20.9,34.2,78.5,224.4,134
2017,6,22.9,33,84.1,498.3,267
2017,7,24.4,31.6,87.5,721.3,286
2017,8,24.7,32.6,85.8,496.3,346
2017,9,24.1,32.8,86.3,375.2,430
2017,10,19.2,31.7,84.7,294.2,512
2017,11,14.8,30.3,79.2,11.4,409
2017,12,13.3,27.1,82.7,49.5,126
2018,1,10.3,24.5,79.7,5.1,26
2018,2,15.5,29.4,74.3,6.7,7
2018,3,19.9,32.9,72.3,16.6,19
2018,4,22,33.2,76.8,155.2,29
2018,5,23.2,32.9,81.5,318,52
2018,6,25.3,33.7,83.8,461.8,295
2018,7,26,33.2,85.8,498.6,946
2018,8,26.2,33.4,83.8,261.3,1796
2018,9,25.7,33.7,83.6,189,3087
2018,10,22.1,32,82.4,141.8,2406
2018,11,17.5,30.6,78.3,4.6,1192
2018,12,12.8,26.6,77.3,12,293
2019,1,9.6,30.1,73.7,0,38
2019,2,11.1,31.8,73.9,59.1,18
2019,3,12.7,34.9,71.2,36,17
2019,4,18.4,37,75.9,111,58
2019,5,21.3,36.7,78.3,214.5,193
2019,6,22.6,36.7,82,261.5,1884
2019,7,23.8,35.6,85.9,618,16253
2019,8,24.9,36.1,83.7,317.3,52636
2019,9,23.5,35.9,85.8,311.2,16856
2019,10,20.9,34.5,84.5,177.6,8143
2019,11,16.3,32.6,81.8,85,4011
2019,12,10.3,30.2,80.7,5.5,1247
2020,1,9.7,29,81.4,30.7,199
2020,2,9.5,31.2,72.8,3.4,45
2020,3,15.4,35.6,69.3,21.1,27
2020,4,18.7,36.6,75.7,146.3,25
2020,5,20.5,36.4,80,305.4,10
2020,6,23.4,35.7,85.4,438.6,20
2020,7,24.8,35.1,86.4,549.9,23
2020,8,25,36.3,85.2,404.2,68
2020,9,24.6,36,86.2,410.9,47
2020,10,22.4,35.9,84.2,250.2,164
2020,11,14.5,33.6,78.7,40.2,546
2020,12,9.8,30.3,80.7,0.1,231
2021,1,12.4,26.3,80.1,0.3,32
2021,2,13.6,29.8,72.8,0.2,9
2021,3,20.1,34,70.8,8.9,13
2021,4,22.7,35.6,71.5,27.8,3
2021,5,24.3,34.9,77.2,195.7,43
2021,6,25.4,32.9,86.1,513.5,272
2021,7,25.8,33.1,85.6,482.6,2286
2021,8,25.8,32.9,86.8,455.2,7698
2021,9,25.6,33.6,84,224.8,7841
2021,10,23.9,33.6,83.3,197.4,5458
2021,11,17.9,30.4,78.5,8.2,3567
2021,12,14.6,27.3,79.8,59.8,1207
2022,1,12.8,25.4,80.1,9.6,126
2022,2,13.5,27.5,74.7,37.4,20
2022,3,19.6,33.7,70.1,6.2,20
2022,4,24.3,34.1,78.2,79,23
2022,5,24.2,33.6,80.9,303.8,163
2022,6,25.5,33,84.5,408.1,737
2022,7,26.3,34.1,81.2,195.7,1571
2022,8,26,34,82.3,249.4,3521
2022,9,25.5,33.4,85.1,320.2,9911
2022,10,23.3,33,82.2,223.9,21932
2022,11,18.2,31.2,77.6,0.2,19334
2022,12,14.6,28,79.6,3.5,3731
2023,1,13.5,29.2,72.2,5.1,566
2023,2,16.6,31.9,70.3,15.8,166
2023,3,21.3,35.7,68.4,45.2,111
2023,4,24.1,34.8,75.1,120.3,143
2023,5,25.1,33.8,82.6,260.1,1036
2023,6,26.3,33.4,88.6,410.2,5956
2023,7,26.5,32.1,90.2,460.8,43854
2023,8,26.5,32.4,89.3,430.2,71976
2023,9,26.1,32.1,86.7,310.2,79598
2023,10,24.2,29.7,80,170.9,67769
2023,11,19.7,25.6,76.1,45.2,40716
2023,12,15.5,22.2,74.1,12.5,9288
2024,1,14.6,28.9,71.3,3.1,1055
2024,2,18.1,32.8,69.3,12.5,339
2024,3,22.7,35.5,67.2,40.2,311
2024,4,25,36.2,77.4,135.5,504
2024,5,25.8,34.9,84.6,290.1,644
2024,6,26.5,33.1,89.9,445.1,798
2024,7,26.8,32.4,91.2,480.2,2669
2024,8,26.8,32.6,90.3,455.5,6521
2024,9,26.3,33,87.6,325.1,18097
2024,10,24.9,32.3,81.4,185.2,30879
2024,11,19.3,29.4,77.6,55.2,29652
2024,12,15.1,26.2,75.3,15.2,9745
2025,1,15.4,27.8,73.8,4.6,1161
2025,2,18.2,31.2,71.2,18.4,374
2025,3,22.7,34.7,69.2,55.8,336
2025,4,25,35.9,78.5,145.1,701
2025,5,26.1,34.4,85.2,310.9,1773
2025,6,26.9,32.3,90.6,470.1,5951
2025,7,27.1,31.5,92.4,564,10684
2025,8,27,31.8,91.2,465.2,10496
2025,9,26.7,32,88.7,320.2,15866
2025,10,25,31.2,82.8,171.7,16296
